feature	metadata	value	name	coef	null_hypothesis	stderr	pval_individual	qval_individual	pval_joint	qval_joint	error	model	N	N_not_zero
PWY-4984: urea cycle	donor_microbiome_type	WildR	donor_microbiome_typeWildR	0.4254807838112473	-0.0790482208289689	0.6309254655028556	0.439438812466457	0.6936383155310542	0.12415918899843907	0.3156107628738948	NA	linear	28	24
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I	sex	Male	sexMale	0.17517028447195118	0.04578625111111673	0.15587798080136903	0.4396746302107597	0.6936383155310542	0.4396746302107597	0.6794044169846077	NA	linear	28	28
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)	sex	Male	sexMale	-0.008951724108134159	0.04578625111111673	0.04408718558843141	0.44115932838937333	0.6947265820041663	0.44115932838937333	0.6801206312669505	NA	linear	28	28
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation	donor_microbiome_type	WildR	donor_microbiome_typeWildR	-0.5077080109729469	-0.0790482208289689	0.5292067048929535	0.4429709417782053	0.695872019721882	0.6897186282965404	0.8777029313744379	NA	linear	28	15
PWY-5690: TCA cycle II (plants and fungi)	donor_microbiome_type	WildR	donor_microbiome_typeWildR	0.6689122770476932	-0.0790482208289689	0.915435102201113	0.4434790789303069	0.695872019721882	0.6902844644117404	0.8777029313744379	NA	linear	28	10
PWY-5392: reductive TCA cycle II	sex	Male	sexMale	0.6102312978300578	0.04578625111111673	0.6578710561848659	0.45493019605721075	0.7103980504094934	0.7028989088297692	0.8882934976861979	NA	linear	28	6
PWY-7234: inosine-5'-phosphate biosynthesis III	sex	Male	sexMale	0.2876627259638638	0.04578625111111673	0.3149994461638276	0.45517495220745574	0.7103980504094934	0.45517495220745574	0.7001074322636618	NA	linear	28	28
PWY-7197: pyrimidine deoxyribonucleotide phosphorylation	sex	Male	sexMale	0.19383516385595828	0.04578625111111673	0.1894276848306874	0.45774915078421463	0.7131421707404698	0.45774915078421463	0.7024445493601081	NA	linear	28	28
PWY66-429: fatty acid biosynthesis initiation (mitochondria)	sex	Male	sexMale	-0.04137671373936572	0.04578625111111673	0.10356219244386639	0.4618146161879091	0.7165215081494469	0.4618146161879091	0.7070541020256264	NA	linear	28	28
1CMET2-PWY: folate transformations III (E. coli)	donor_microbiome_type	WildR	donor_microbiome_typeWildR	-0.2005601497168528	-0.0790482208289689	0.1178569566525464	0.47334307954839394	0.7261552039333785	0.47334307954839394	0.7181013461941467	NA	linear	28	28
ORNDEG-PWY: superpathway of ornithine degradation	sex	Male	sexMale	-0.3076323628045312	0.04578625111111673	0.4607313600903028	0.4706349106858032	0.7261552039333785	0.7197726022153724	0.9010687087884174	NA	linear	28	10
PWY-6936: seleno-amino acid biosynthesis (plants)	sex	Male	sexMale	-0.20949283329526106	0.04578625111111673	0.35328673352801565	0.4810570515760024	0.7261552039333785	0.4810570515760024	0.7264943227882485	NA	linear	28	28
PWY-7211: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis	sex	Male	sexMale	-0.4412931667493739	0.04578625111111673	0.6579514218148262	0.4723549730030061	0.7261552039333785	0.3501745515947935	0.5964610009261699	NA	linear	28	17
VALSYN-PWY: L-valine biosynthesis	sex	Male	sexMale	0.1904548851324515	0.04578625111111673	0.1914991608929777	0.472495801831359	0.7261552039333785	0.472495801831359	0.7181013461941467	NA	linear	28	28
1CMET2-PWY: folate transformations III (E. coli)	sex	Male	sexMale	-0.04639472876520593	0.04578625111111673	0.11815876753507287	0.4832111016053866	0.7281491427639791	0.4832111016053866	0.7269465272512077	NA	linear	28	28
PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage	sex	Male	sexMale	0.22247592333254343	0.04578625111111673	0.24318379950225055	0.4844063090967694	0.7286938281421281	0.4844063090967694	0.7269465272512077	NA	linear	28	28
PWY-6353: purine nucleotides degradation II (aerobic)	sex	Male	sexMale	0.393207883970959	0.04578625111111673	0.48918468924444813	0.48599911749352676	0.7298337262703477	0.48599911749352676	0.72736047696784	NA	linear	28	28
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	sex	Male	sexMale	-0.02457751493724078	0.04578625111111673	0.08445612674670527	0.4887528440526143	0.7327100955437134	0.4887528440526143	0.7298416908947111	NA	linear	28	28
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	sex	Male	sexMale	-0.0061675444984740525	0.04578625111111673	0.050532293183747364	0.49096894382377254	0.7335159947042346	0.49096894382377254	0.731510775361594	NA	linear	28	28
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)	sex	Male	sexMale	0.8137720734160052	0.04578625111111673	1.0731620681674192	0.4925413415220121	0.7346094411096221	0.4764678905406333	0.7211991252274131	NA	linear	28	12
PWY-6527: stachyose degradation	donor_microbiome_type	WildR	donor_microbiome_typeWildR	-0.18191247665065866	-0.0790482208289689	0.09053264641358127	0.4968771791913964	0.7398137216580587	0.4968771791913964	0.7386611637086383	NA	linear	28	28
PWY-3781: aerobic respiration I (cytochrome c)	donor_microbiome_type	WildR	donor_microbiome_typeWildR	-0.4528733258779526	-0.0790482208289689	0.5348817261073489	0.4995353952221546	0.7412460703296488	0.4995353952221546	0.7409589603963362	NA	linear	28	28
P124-PWY: Bifidobacterium shunt	sex	Male	sexMale	-0.38904068007177267	0.04578625111111673	0.6327466524186636	0.5018465188356214	0.7434133177327679	0.751843109203811	0.9221501118411384	NA	linear	28	21
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)	donor_microbiome_type	WildR	donor_microbiome_typeWildR	-0.17361581860929565	-0.0790482208289689	0.07423646454687227	0.5060169718486087	0.7457990445121147	0.5060169718486087	0.7455913788742774	NA	linear	28	28
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	donor_microbiome_type	WildR	donor_microbiome_typeWildR	0.011262797104919467	-0.0790482208289689	0.06153007373325053	0.5052812065505483	0.7457990445121147	0.5052812065505483	0.7455913788742774	NA	linear	28	28
PWY-5097: L-lysine biosynthesis VI	donor_microbiome_type	WildR	donor_microbiome_typeWildR	0.019057118675814975	-0.0790482208289689	0.08391020673293648	0.5044482862589774	0.7457990445121147	0.5044482862589774	0.7455913788742774	NA	linear	28	28
CRNFORCAT-PWY: creatinine degradation I	donor_microbiome_type	WildR	donor_microbiome_typeWildR	-0.30244937199918925	-0.0790482208289689	0.3116624193597223	0.5110180316752386	0.7470127562923751	0.7608966346532421	0.928599636340843	NA	linear	28	19
PWY-6595: superpathway of guanosine nucleotides degradation (plants)	sex	Male	sexMale	0.3408935298399014	0.04578625111111673	0.4390913879643052	0.5101502247978722	0.7470127562923751	0.5101502247978722	0.7500221848021698	NA	linear	28	28
GALACTARDEG-PWY: D-galactarate degradation I	sex	Male	sexMale	0.3014082993235183	0.04578625111111673	0.3758145563594353	0.5128436393702323	0.7470422346826384	0.7626786802979597	0.928599636340843	NA	linear	28	15
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation	sex	Male	sexMale	0.3014082993235183	0.04578625111111673	0.3758145563594353	0.5128110764275211	0.7470422346826384	0.7626469527482893	0.928599636340843	NA	linear	28	15
PWY-7316: dTDP-N-acetylviosamine biosynthesis	sex	Male	sexMale	-0.3746114296314077	0.04578625111111673	0.627085875391129	0.5154135572642176	0.7495365208800768	0.7651759795166803	0.9298895931919426	NA	linear	28	16
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I	sex	Male	sexMale	0.13882860789978302	0.04578625111111673	0.13162889138043046	0.5183025911657564	0.7524858217256996	0.5183025911657564	0.7553381306704459	NA	linear	28	28
