term	df	SumOfSqs	R2	statistic	p.value_PERMANOVA	Tot.variance_betadisper	Expl.variance_betadisper	p.value_betadisper
sex	1	0.014469116460588849	0.03203557251354517	1.2387078898519606	0.277	0.026232210382585476	0.006503491967705762	0.674
donor_microbiome_type	1	0.14564849258232976	0.32247531204264573	12.469036198457292	0.001	0.043248237906082905	0.00849984977057422	0.64
Residual	25	0.29202034997771087	0.6465522012089101	NA	NA	NA	NA	NA
Total	27	0.45165780803421157	1	NA	NA	NA	NA	NA
